ticker,precio,vcp_score,calidad_patron,num_contracciones,contracciones,profundidad_base,etapa_analisis,trend_score,volumen_score,breakout_potential,listo_comprar,sector,market_cap,razon
DDOG,129.22999572753906,64.64285714285714,Excellent,14,13.7% → 13.8% → 17.2% → 4.6% → 9.4% → 8.9% → 10.7% → 4.5% → 24.7% → 16.6% → 8.2% → 20.6% → 26.3% → 26.6%,26.551258735725185,Stage Unknown,15.0,60.714285714285715,80.0,False,Technology,45728206848,VCP 14 contracciones (Excellent) | Base: 26.6% | Stage Unknown
ANET,135.8800048828125,64.5,Excellent,12,10.1% → 11.4% → 7.3% → 15.9% → 30.6% → 5.8% → 10.8% → 3.5% → 15.1% → 6.2% → 17.4% → 17.7%,30.568694708399306,Stage Unknown,15.0,60.0,80.0,False,Technology,171111661568,VCP 12 contracciones (Excellent) | Base: 30.6% | Stage Unknown
CI,261.489990234375,64.45652173913044,Excellent,23,10.5% → 3.4% → 5.7% → 12.2% → 5.4% → 3.2% → 13.5% → 15.7% → 4.4% → 8.3% → 3.5% → 6.2% → 7.2% → 3.5% → 23.1% → 4.0% → 3.5% → 7.6% → 3.3% → 7.2% → 5.6% → 4.9% → 6.8%,23.071246999994834,Stage Unknown,15.0,69.78260869565217,60.0,False,Healthcare,69850726400,VCP 23 contracciones (Excellent) | Base: 23.1% | Stage Unknown
AZO,3353.239990234375,64.15789473684211,Excellent,19,12.3% → 4.8% → 6.0% → 8.8% → 7.6% → 4.2% → 9.5% → 9.6% → 4.9% → 13.5% → 3.6% → 3.1% → 15.2% → 4.8% → 7.9% → 4.2% → 6.8% → 6.7% → 6.2%,15.206254154285267,Stage Unknown,15.0,68.28947368421052,60.0,False,Consumer Cyclical,55392169984,VCP 19 contracciones (Excellent) | Base: 15.2% | Stage Unknown
CDW,120.16000366210938,63.9,Excellent,20,17.0% → 11.4% → 7.4% → 9.3% → 3.7% → 4.8% → 13.1% → 3.6% → 4.7% → 5.2% → 7.4% → 5.4% → 10.8% → 4.5% → 14.0% → 9.8% → 15.7% → 9.6% → 17.0% → 8.2%,17.049709408338455,Stage Unknown,5.0,72.0,80.0,False,Technology,15644070912,VCP 20 contracciones (Excellent) | Base: 17.0% | Stage Unknown
ADP,209.7100067138672,63.73809523809524,Excellent,21,11.9% → 7.9% → 3.1% → 7.5% → 4.9% → 5.0% → 5.5% → 3.7% → 4.1% → 5.2% → 3.2% → 4.8% → 13.1% → 3.6% → 3.6% → 4.7% → 3.5% → 5.2% → 20.0% → 7.1% → 5.8%,19.96163463419413,Stage Unknown,5.0,66.19047619047619,90.0,False,Technology,84816945152,VCP 21 contracciones (Excellent) | Base: 20.0% | Stage Unknown
DXCM,65.94000244140625,63.68181818181818,Excellent,22,11.6% → 6.6% → 4.0% → 3.9% → 4.8% → 4.1% → 11.5% → 10.1% → 3.4% → 16.9% → 10.8% → 7.7% → 19.5% → 8.4% → 24.9% → 6.0% → 4.6% → 6.6% → 4.4% → 9.1% → 6.9% → 16.6%,24.930633690634835,Stage Unknown,15.0,73.4090909090909,45.0,False,Healthcare,25717671936,VCP 22 contracciones (Excellent) | Base: 24.9% | Stage Unknown
DECK,102.44999694824219,62.97727272727273,Excellent,22,21.4% → 15.5% → 6.0% → 7.2% → 27.0% → 13.2% → 13.2% → 19.1% → 8.3% → 4.5% → 9.5% → 17.6% → 9.9% → 24.2% → 4.6% → 7.5% → 7.5% → 8.7% → 6.0% → 6.7% → 8.0% → 5.2%,26.964586459338253,Stage Unknown,5.0,69.88636363636364,75.0,False,Consumer Cyclical,14931557376,VCP 22 contracciones (Excellent) | Base: 27.0% | Stage Unknown
EXPE,236.64999389648438,62.833333333333336,Excellent,6,16.1% → 5.2% → 24.0% → 20.9% → 25.5% → 7.0%,25.473480368695334,Stage Unknown,5.0,66.66666666666667,80.0,False,Consumer Cyclical,28997875712,VCP 6 contracciones (Excellent) | Base: 25.5% | Stage Unknown
APO,110.44999694824219,62.28260869565217,Excellent,23,28.2% → 17.4% → 8.9% → 8.7% → 13.7% → 5.7% → 7.6% → 6.7% → 11.6% → 12.5% → 6.1% → 20.3% → 8.0% → 4.7% → 7.2% → 10.3% → 5.1% → 5.1% → 8.7% → 11.9% → 10.6% → 28.7% → 8.5%,28.681825899803293,Stage Unknown,0.0,68.91304347826087,85.0,False,Financial Services,64107671552,VCP 23 contracciones (Excellent) | Base: 28.7% | Stage Unknown
CPAY,293.30999755859375,62.26923076923077,Excellent,26,25.4% → 15.6% → 6.6% → 5.0% → 6.0% → 10.6% → 5.6% → 11.7% → 6.7% → 3.3% → 14.2% → 4.5% → 5.5% → 7.6% → 9.9% → 5.5% → 7.9% → 13.3% → 7.9% → 4.7% → 5.7% → 8.8% → 12.1% → 11.6% → 10.6% → 8.7%,25.396565596162063,Stage Unknown,5.0,73.84615384615384,60.0,False,Technology,20519397376,VCP 26 contracciones (Excellent) | Base: 25.4% | Stage Unknown
BSX,69.54000091552734,62.166666666666664,Excellent,15,11.1% → 4.1% → 3.7% → 5.7% → 7.4% → 5.6% → 6.7% → 12.3% → 9.3% → 7.6% → 9.1% → 11.3% → 13.7% → 23.3% → 4.5%,23.28231932305409,Stage Unknown,0.0,68.33333333333333,85.0,False,Healthcare,103348617216,VCP 15 contracciones (Excellent) | Base: 23.3% | Stage Unknown
BXP,53.040000915527344,62.095238095238095,Excellent,21,20.2% → 9.9% → 6.6% → 10.8% → 4.9% → 4.7% → 14.0% → 8.0% → 7.1% → 9.1% → 3.6% → 9.3% → 6.3% → 7.0% → 5.6% → 4.5% → 5.4% → 7.7% → 7.3% → 13.7% → 7.5%,20.20602360193005,Stage Unknown,5.0,70.47619047619048,65.0,False,Real Estate,9391101952,VCP 21 contracciones (Excellent) | Base: 20.2% | Stage Unknown
GIS,37.36000061035156,62.075,Excellent,20,11.4% → 7.1% → 5.7% → 4.3% → 5.3% → 9.1% → 8.4% → 6.0% → 3.1% → 4.6% → 5.0% → 4.3% → 6.2% → 7.9% → 8.0% → 13.1% → 5.2% → 4.6% → 11.8% → 4.4%,13.116748577178752,Stage Unknown,5.0,67.875,70.0,False,Consumer Defensive,19938330624,VCP 20 contracciones (Excellent) | Base: 13.1% | Stage Unknown
CRWD,413.30999755859375,61.90909090909091,Excellent,22,10.3% → 5.8% → 4.4% → 9.4% → 6.1% → 9.9% → 7.3% → 12.7% → 6.0% → 6.1% → 10.1% → 7.5% → 8.1% → 3.7% → 7.0% → 15.8% → 15.2% → 7.2% → 7.9% → 23.1% → 10.6% → 20.6%,23.128082998790447,Stage Unknown,5.0,72.04545454545455,60.0,False,Technology,104821243904,VCP 22 contracciones (Excellent) | Base: 23.1% | Stage Unknown
ERIE,245.8800048828125,61.84827586206897,Excellent,29,12.1% → 20.6% → 5.5% → 8.1% → 6.4% → 4.4% → 7.0% → 6.2% → 3.9% → 7.2% → 7.3% → 3.6% → 12.7% → 7.5% → 4.4% → 5.5% → 6.9% → 16.2% → 3.7% → 3.3% → 9.1% → 3.4% → 4.7% → 4.8% → 3.8% → 6.9% → 8.6% → 14.2% → 5.7%,20.624431104256153,Stage Unknown,5.0,66.74137931034483,70.0,False,Financial Services,12857032704,VCP 29 contracciones (Excellent) | Base: 20.6% | Stage Unknown
FISV,57.709999084472656,61.82631578947368,Excellent,19,17.8% → 5.0% → 20.4% → 3.3% → 18.6% → 5.8% → 4.5% → 6.7% → 23.7% → 3.5% → 15.0% → 52.7% → 11.0% → 4.9% → 4.4% → 5.9% → 8.8% → 14.9% → 10.1%,52.671221198413306,Stage Unknown,5.0,72.63157894736842,58.0,False,Unknown,31039432704,VCP 19 contracciones (Excellent) | Base: 52.7% | Stage Unknown
AXP,301.9100036621094,61.8,Excellent,5,11.4% → 3.8% → 4.3% → 9.2% → 6.9%,11.433337731919371,Stage Unknown,5.0,69.0,65.0,False,Financial Services,207971205120,VCP 5 contracciones (Excellent) | Base: 11.4% | Stage Unknown
EFX,179.64999389648438,61.74074074074074,Excellent,27,19.4% → 6.3% → 3.8% → 8.9% → 9.9% → 6.8% → 3.0% → 8.1% → 10.9% → 4.4% → 4.8% → 4.7% → 8.9% → 5.9% → 9.0% → 13.3% → 10.2% → 7.2% → 15.5% → 5.4% → 3.9% → 3.8% → 6.2% → 7.2% → 27.4% → 9.0% → 6.3%,27.397556368624333,Stage Unknown,5.0,71.20370370370371,60.0,False,Industrials,21988087808,VCP 27 contracciones (Excellent) | Base: 27.4% | Stage Unknown
DLTR,108.2699966430664,61.125,Excellent,4,10.1% → 4.5% → 18.5% → 19.9%,19.876178736206292,Stage Unknown,5.0,75.625,45.0,False,Consumer Defensive,21529833472,VCP 4 contracciones (Excellent) | Base: 19.9% | Stage Unknown
EMR,129.8300018310547,61.05,Excellent,16,17.7% → 3.5% → 3.2% → 4.8% → 7.0% → 5.6% → 7.4% → 3.4% → 9.3% → 7.6% → 7.3% → 3.4% → 3.3% → 4.9% → 3.8% → 12.6%,17.674870975246506,Stage Unknown,5.0,71.25,53.0,False,Industrials,73003679744,VCP 16 contracciones (Excellent) | Base: 17.7% | Stage Unknown
CHRW,166.83999633789062,61.0,Excellent,2,26.5% → 9.5%,26.546668635314198,Stage 1-2 Transition,20.0,75.0,60.0,False,Industrials,19790698496,VCP 2 contracciones (Excellent) | Base: 26.5% | Stage 1-2 Transition
CAG,15.460000038146973,61.0,Excellent,25,11.5% → 5.8% → 6.3% → 8.1% → 4.6% → 5.9% → 4.4% → 10.3% → 12.6% → 5.8% → 4.8% → 3.6% → 6.3% → 8.7% → 7.4% → 10.8% → 3.4% → 6.2% → 5.5% → 6.5% → 9.5% → 5.9% → 9.8% → 5.5% → 5.5%,12.63453662971944,Stage Unknown,5.0,70.0,55.0,False,Consumer Defensive,7395592192,VCP 25 contracciones (Excellent) | Base: 12.6% | Stage Unknown
CPRT,33.38999938964844,60.6421052631579,Excellent,19,11.0% → 4.4% → 4.6% → 25.9% → 8.7% → 4.0% → 3.7% → 11.7% → 4.4% → 3.7% → 8.6% → 8.8% → 3.1% → 7.6% → 3.8% → 5.8% → 7.3% → 10.8% → 11.2%,25.87313553306049,Stage Unknown,5.0,69.21052631578948,53.0,False,Industrials,32322109440,VCP 19 contracciones (Excellent) | Base: 25.9% | Stage Unknown
CEG,289.760009765625,60.5,Excellent,20,16.4% → 8.0% → 8.1% → 6.5% → 9.8% → 11.0% → 9.5% → 5.6% → 7.4% → 6.3% → 16.8% → 18.2% → 13.7% → 12.7% → 7.5% → 12.2% → 15.0% → 18.5% → 17.0% → 7.0%,18.543291492604563,Stage Unknown,5.0,65.0,60.0,False,Utilities,104978505728,VCP 20 contracciones (Excellent) | Base: 18.5% | Stage Unknown
CMG,33.36000061035156,60.391304347826086,Excellent,23,15.0% → 12.2% → 6.4% → 5.3% → 4.9% → 5.3% → 7.2% → 4.7% → 6.3% → 27.8% → 13.5% → 3.9% → 4.0% → 5.3% → 3.5% → 30.4% → 5.3% → 4.9% → 3.9% → 9.7% → 12.1% → 7.8% → 7.5%,30.393077136942182,Stage Unknown,5.0,64.45652173913044,60.0,False,Consumer Cyclical,44111196160,VCP 23 contracciones (Excellent) | Base: 30.4% | Stage Unknown
ELV,289.239990234375,60.38636363636364,Excellent,22,15.0% → 15.7% → 10.7% → 5.2% → 5.8% → 16.3% → 20.8% → 7.7% → 3.2% → 4.3% → 6.6% → 4.7% → 4.1% → 6.1% → 13.2% → 6.9% → 7.3% → 5.0% → 7.1% → 3.8% → 4.8% → 16.6%,20.776054276060812,Stage Unknown,5.0,71.93181818181819,45.0,False,Healthcare,63836618752,VCP 22 contracciones (Excellent) | Base: 20.8% | Stage Unknown
CLX,105.87999725341797,60.023809523809526,Excellent,21,11.3% → 3.8% → 9.9% → 5.1% → 8.8% → 4.4% → 3.9% → 8.1% → 4.1% → 5.5% → 4.3% → 7.5% → 5.3% → 3.8% → 18.1% → 6.7% → 7.8% → 4.2% → 5.2% → 5.1% → 15.5%,18.076057720046485,Stage Unknown,5.0,70.11904761904762,45.0,False,Consumer Defensive,12915281920,VCP 21 contracciones (Excellent) | Base: 18.1% | Stage Unknown
ARES,107.12000274658203,59.56315789473685,Excellent,19,11.8% → 5.7% → 5.7% → 4.1% → 5.5% → 8.6% → 3.6% → 9.9% → 4.6% → 4.7% → 4.3% → 24.7% → 10.0% → 7.6% → 12.0% → 10.4% → 32.8% → 20.1% → 12.9%,32.81755641280204,Stage Unknown,0.0,66.3157894736842,63.0,False,Financial Services,35448086528,VCP 19 contracciones (Excellent) | Base: 32.8% | Stage Unknown
DASH,159.97999572753906,59.42857142857143,Excellent,21,15.3% → 5.9% → 4.5% → 4.9% → 6.6% → 16.2% → 4.6% → 4.3% → 5.6% → 7.3% → 13.6% → 28.3% → 15.9% → 7.0% → 3.7% → 7.1% → 14.6% → 4.4% → 25.6% → 13.3% → 8.3%,28.289965094243723,Stage Unknown,0.0,67.14285714285714,60.0,False,Consumer Cyclical,69499527168,VCP 21 contracciones (Excellent) | Base: 28.3% | Stage Unknown
ALB,167.55999755859375,59.375,Excellent,4,16.8% → 11.1% → 14.3% → 23.7%,23.65533843886805,Stage 1-2 Transition,20.0,64.375,55.0,False,Basic Materials,19746480128,VCP 4 contracciones (Excellent) | Base: 23.7% | Stage 1-2 Transition
CSGP,42.90999984741211,59.225,Excellent,20,11.3% → 5.1% → 11.6% → 7.6% → 5.3% → 3.6% → 3.6% → 13.2% → 4.5% → 7.4% → 11.2% → 13.7% → 19.3% → 6.2% → 6.6% → 10.6% → 9.4% → 17.4% → 37.9% → 17.1%,37.933967087330245,Stage Unknown,0.0,73.625,45.0,False,Real Estate,18186235904,VCP 20 contracciones (Excellent) | Base: 37.9% | Stage Unknown
BX,109.3499984741211,59.05294117647058,Excellent,17,12.3% → 8.0% → 3.4% → 4.4% → 8.0% → 8.3% → 4.7% → 4.4% → 19.4% → 14.4% → 9.1% → 5.5% → 4.1% → 10.0% → 24.1% → 18.6% → 13.1%,24.14315443671534,Stage Unknown,0.0,58.76470588235294,73.0,False,Financial Services,133654347776,VCP 17 contracciones (Excellent) | Base: 24.1% | Stage Unknown
BR,170.83999633789062,58.51904761904762,Excellent,21,14.0% → 3.3% → 7.7% → 3.4% → 3.2% → 4.1% → 3.9% → 5.5% → 5.9% → 5.5% → 6.7% → 9.4% → 3.1% → 4.4% → 7.7% → 5.2% → 3.2% → 3.7% → 3.5% → 5.0% → 27.1%,27.081196247270295,Stage Unknown,5.0,62.5952380952381,45.0,False,Technology,19945349120,VCP 21 contracciones (Excellent) | Base: 27.1% | Stage Unknown
ACN,200.02000427246094,58.42272727272727,Excellent,22,13.5% → 7.7% → 4.1% → 4.9% → 4.6% → 15.1% → 3.0% → 9.9% → 18.7% → 3.9% → 11.9% → 4.9% → 8.1% → 3.8% → 6.6% → 4.7% → 5.0% → 5.6% → 7.0% → 5.6% → 5.0% → 35.2%,35.164382801920276,Stage Unknown,0.0,59.61363636363636,65.0,False,Technology,123099340800,VCP 22 contracciones (Excellent) | Base: 35.2% | Stage Unknown
BF-B,22.93000030517578,57.92307692307692,Excellent,26,11.5% → 5.7% → 5.2% → 4.3% → 7.3% → 22.0% → 10.7% → 3.3% → 4.7% → 8.1% → 9.9% → 5.1% → 8.3% → 14.3% → 4.8% → 3.7% → 8.5% → 5.0% → 8.3% → 4.5% → 9.7% → 19.6% → 7.5% → 4.9% → 7.8% → 17.4%,22.013850868160883,Stage Unknown,5.0,67.11538461538461,30.0,False,Consumer Defensive,10518074368,VCP 26 contracciones (Excellent) | Base: 22.0% | Stage Unknown
TECH,52.0,57.91666666666667,Excellent,6,19.1% → 8.4% → 14.3% → 14.5% → 22.4% → 7.6%,22.378545319764378,Stage Unknown,0.0,54.583333333333336,70.0,False,Healthcare,8135571456,VCP 6 contracciones (Excellent) | Base: 22.4% | Stage Unknown
CNC,32.810001373291016,57.64285714285714,Excellent,21,12.4% → 10.2% → 11.5% → 13.2% → 3.8% → 5.1% → 52.4% → 15.0% → 6.4% → 6.1% → 12.4% → 14.0% → 10.0% → 10.1% → 11.4% → 9.9% → 6.7% → 8.9% → 5.6% → 9.2% → 22.5%,52.41907311485505,Stage Unknown,0.0,73.21428571428571,30.0,False,Healthcare,16135007232,VCP 21 contracciones (Excellent) | Base: 52.4% | Stage Unknown
APP,458.95001220703125,57.44444444444444,Excellent,9,26.9% → 11.2% → 27.5% → 10.0% → 19.3% → 25.1% → 36.8% → 25.5% → 15.7%,36.81218312817822,Stage Unknown,0.0,62.22222222222222,50.0,False,Communication Services,155104460800,VCP 9 contracciones (Excellent) | Base: 36.8% | Stage Unknown
CPB,21.0,57.21923076923076,Excellent,26,10.9% → 6.1% → 8.3% → 5.2% → 8.5% → 4.5% → 8.9% → 5.7% → 8.1% → 5.1% → 5.0% → 5.1% → 6.9% → 4.0% → 4.1% → 3.7% → 10.0% → 7.5% → 5.9% → 3.9% → 12.2% → 9.1% → 4.9% → 8.3% → 3.9% → 11.2%,12.203500041052239,Stage Unknown,0.0,67.09615384615384,38.0,False,Consumer Defensive,6261076480,VCP 26 contracciones (Excellent) | Base: 12.2% | Stage Unknown
FICO,1063.3299560546875,57.137499999999996,Excellent,24,16.2% → 8.5% → 4.3% → 33.1% → 5.1% → 10.8% → 22.5% → 3.6% → 16.7% → 4.8% → 5.4% → 8.9% → 5.0% → 20.8% → 6.3% → 7.9% → 7.8% → 4.3% → 4.9% → 8.5% → 12.3% → 11.4% → 19.2% → 13.9%,33.06773206624472,Stage Unknown,0.0,66.6875,38.0,False,Technology,25224456192,VCP 24 contracciones (Excellent) | Base: 33.1% | Stage Unknown
BLDR,84.66000366210938,56.87142857142857,Excellent,21,15.6% → 15.9% → 19.0% → 11.2% → 4.9% → 4.1% → 11.4% → 14.6% → 9.9% → 9.5% → 6.6% → 23.0% → 8.6% → 8.3% → 26.0% → 10.4% → 9.6% → 6.1% → 8.1% → 15.4% → 11.3%,25.982586043313553,Stage Unknown,0.0,65.35714285714286,38.0,False,Industrials,9363825664,VCP 21 contracciones (Excellent) | Base: 26.0% | Stage Unknown
